SlotNumber,Floor,SlotType,Available
7,1,1,true,2019-02-22 17:50:25.064
8,1,1,true,2019-02-22 17:50:25.064
9,1,1,true,2019-02-22 17:50:25.064
10,1,1,true,2019-02-22 17:50:25.064
11,1,1,true,2019-02-22 17:50:25.064
12,1,1,true,2019-02-22 17:50:25.064
13,1,1,true,2019-02-22 17:50:25.065
14,1,1,true,2019-02-22 17:50:25.065
15,1,1,true,2019-02-22 17:50:25.066
16,1,1,true,2019-02-22 17:50:25.066
17,1,1,true,2019-02-22 17:50:25.066
18,1,1,true,2019-02-22 17:50:25.066
19,1,1,true,2019-02-22 17:50:25.067
20,1,1,true,2019-02-22 17:50:25.067
21,1,1,true,2019-02-22 17:50:25.067
22,1,1,true,2019-02-22 17:50:25.067
23,1,1,true,2019-02-22 17:50:25.067
24,1,1,true,2019-02-22 17:50:25.067
25,1,1,true,2019-02-22 17:50:25.067
26,1,1,true,2019-02-22 17:50:25.067
27,1,1,true,2019-02-22 17:50:25.067
28,1,1,true,2019-02-22 17:50:25.067
29,1,1,true,2019-02-22 17:50:25.067
30,1,1,true,2019-02-22 17:50:25.068
31,1,1,true,2019-02-22 17:50:25.068
32,1,1,true,2019-02-22 17:50:25.068
33,1,1,true,2019-02-22 17:50:25.068
34,1,1,true,2019-02-22 17:50:25.068
35,1,1,true,2019-02-22 17:50:25.068
36,1,1,true,2019-02-22 17:50:25.068
37,1,1,true,2019-02-22 17:50:25.068
38,1,1,true,2019-02-22 17:50:25.068
39,1,1,true,2019-02-22 17:50:25.069
40,1,1,true,2019-02-22 17:50:25.069
41,1,1,true,2019-02-22 17:50:25.069
42,1,1,true,2019-02-22 17:50:25.069
43,1,1,true,2019-02-22 17:50:25.069
44,1,1,true,2019-02-22 17:50:25.069
45,1,1,true,2019-02-22 17:50:25.069
46,1,1,true,2019-02-22 17:50:25.069
47,1,1,true,2019-02-22 17:50:25.069
48,1,1,true,2019-02-22 17:50:25.069
49,1,1,true,2019-02-22 17:50:25.07
50,1,1,true,2019-02-22 17:50:25.07
53,1,2,true,2019-02-22 17:50:25.07
67,1,2,true,2019-02-22 17:50:25.07
68,1,2,true,2019-02-22 17:50:25.07
69,1,2,true,2019-02-22 17:50:25.07
70,1,2,true,2019-02-22 17:50:25.07
71,1,2,true,2019-02-22 17:50:25.07
72,1,2,true,2019-02-22 17:50:25.07
73,1,2,true,2019-02-22 17:50:25.071
74,1,2,true,2019-02-22 17:50:25.071
75,1,2,true,2019-02-22 17:50:25.071
76,1,2,true,2019-02-22 17:50:25.071
77,1,2,true,2019-02-22 17:50:25.071
78,1,2,true,2019-02-22 17:50:25.071
79,1,2,true,2019-02-22 17:50:25.071
80,1,2,true,2019-02-22 17:50:25.071
81,1,2,true,2019-02-22 17:50:25.071
82,1,2,true,2019-02-22 17:50:25.071
83,1,2,true,2019-02-22 17:50:25.071
84,1,2,true,2019-02-22 17:50:25.071
85,1,2,true,2019-02-22 17:50:25.072
86,1,2,true,2019-02-22 17:50:25.072
87,1,2,true,2019-02-22 17:50:25.072
88,1,2,true,2019-02-22 17:50:25.072
89,1,2,true,2019-02-22 17:50:25.072
90,1,2,true,2019-02-22 17:50:25.072
